KEY,標準,標準_日本語,倉庫,倉庫_日本語,FUJI,FUJI_日本語,FUJI岡崎,FUJI豊田,FUJI豊田(機械加工),ELS,明和,東栄電機,NFT,東芝産業機器システム,フジプレアム,ツガル精密機器,富士電機,日本マイクロニクス
key.PlanDifference,Difference from the planned value,計画値との差異,,,,,,,,,,,,,,,,
key.PlanOnly,Plan,予定のみ,,,,,,,,,,,,,,,,
key.Plans,予定表,予定表,,,,,,,,,,,,,,,,
key.plans.datetime,予定日時,予定日時,,,,,,,,,,,,,,,,
key.plans.entry.title,予定表登録,予定表登録,,,,,,,,,,,,,,,,
key.plans.pastday,過去日の%sは、できません。,過去日の%sは、できません。,,,,,,,,,,,,,,,,
key.plans.setting,計画設定,計画設定,,,,,,,,,,,,,,,,
key.PlansCreate,予定表の新規作成,予定表の新規作成,,,,,,,,,,,,,,,,
key.PlansDelete,予定表の削除,予定表の削除,,,,,,,,,,,,,,,,
key.PlansImport,予定表の読み込み,予定表の読み込み,,,,,,,,,,,,,,,,
key.PlansUpdate,予定表の編集,予定表の編集,,,,,,,,,,,,,,,,
key.PlanTimeOrder,計画順,計画順,,,,,,,,,,,,,,,,
key.PlanTitle,Plan,予定,,,,,,,,,,,,,,,,
key.PlanValue,Plan value,計画値,,,,,,,,,,,,,,,,
key.PleaseSendPayoutDestination,"This list, please send it to payout destination.",このリストを、払出先に送ってください。,,,,,,,,,,,,,,,,
key.PluginName,Plugin Name,プラグイン名,,,,,,,,,,,,,,,,
key.Porde.delete,注番削除,注番削除,,,,,,,,,,,,,,,,
key.Porder,Porder,注番,,,,,,,,,,,,,,,,
key.PostMeridian,PM,午後,,,,,,,,,,,,,,,,
key.PrevPage,前ページ,前ページ,,,,,,,,,,,,,,,,
key.PrintAcceptanceDocument,受入処理が完了しました。受入票を印刷しますか?,受入処理が完了しました。受入票を印刷しますか?,,,,,,,,,,,,,,,,
key.Printed,Print,印刷,,,,,,,,,,,,,,,,
key.PrintLabel,ラベルを印刷する,ラベルを印刷する,,,,,,,,,,,,,,,,
key.printNum,Copies,印刷部数,,,,,,,,,,,,,,,,
key.PrintOutCSV,Output CSV File,CSV出力,,,,,,,,,,,,,,,,
key.PriorityParallel,並列工程を優先する,並列工程を優先する,,,,,,,,,,,,,,,,
key.PrioritySerial,直列工程を優先する,直列工程を優先する,,,,,,,,,,,,,,,,
key.probabilityDestiny,,,,,ProbabilityDestiny,確率密度,〇,,,,,,,,,,,
key.Process,Process,工程,,,,,,,,,,,,,,,,
key.ProcessHierarch,Process Hierarch,工程階層,,,,,,,,,,,,,,,,
key.ProcessName,Process Name,工程名,,,,,,,,,,,,,,,,
key.ProcessProperty,工程プロパティ,工程プロパティ,,,,,,,,,,,,,,,,
key.ProcessStatus,ProcessStatus,工程ステータス,,,,,,,,,,,,,,,,
key.product,完成品,完成品,,,,,,,,,,,,,,,,
key.Product.UniqueID,Serial number,製品シリアル,,,,,,,,,,,,,,,,
key.ProductInformation,Product,製品情報,,,,,,,,,,,,,,,,
key.Production,出来高,出来高,,,,,,,,,,,,,,,,
key.ProductionNavi.DisplaySetting,表示設定,表示設定,,,,,,,,,,,,,,,,
key.ProductionNavi.Import,Import work plan,生産計画の読み込み,,,,,,,,,,,,,,,,
key.ProductionNavi.Roster,勤務表,勤務表,,,,,,,,,,,,,,,,
key.ProductionNavi.Title,生産管理,生産管理,,,,,,,,,,,,,,,,
key.ProductionNavi.Worker,作業者管理,作業者管理,,,,,,,,,,,,,,,,
key.ProductionNavi.WorkPlan,作業計画,作業計画,,,,,,,,,,,,,,,,
key.ProductionNum,Production Number,生産数,,,,,,,,,,,,,,,,
key.ProductionNumber,Production number,製造番号,,,,,,,,,,,,,,,,
key.ProductionTime,Production time,実稼働時間,,,,,,,,,,,,,,,,
key.ProductionType,Production Type,生産タイプ,,,,,,,,,,,,,,,,
key.ProductionVolume,Production volume,生産台数,,,,,,,,,,,,,,,,
key.productionWay,生産方式,生産方式,,,,,,,,,,,,,,,,
key.ProductName,Product Name,品名,Product Name,品名,,,,,,,,,,,,,,
key.ProductNo,ProductNo,品目,,,,,,,,,,,,,,,,
key.ProductProgress,ProductProgress,製品進捗,,,,,,,,,,,,,,,,
key.ProductTag,Tag,タグ,,,,,,,,,,,,,,,,
key.Progress,Progress,進捗,,,Progress,進捗,,,,,,,,,,,,
key.ProgressTime,,,,,ProgressTime,進捗時間,〇,,,,,,,,,,,
key.Property,Property,プロパティ,,,,,,,,,,,,,,,,
key.property.name,プロパティ名,プロパティ名,,,,,,,,,,,,,,,,
key.propertyBooleanType,Boolean,真理値,,,,,,,,,,,,,,,,
key.PropertyContent,Current value,現在値,,,,,,,,,,,,,,,,
key.propertyDateType,Date,日付,,,,,,,,,,,,,,,,
key.propertyIntegerType,Numeric value,数値,,,,,,,,,,,,,,,,
key.propertyIp4AddressType,IPv4 Address,IPv4アドレス,,,,,,,,,,,,,,,,
key.PropertyItem,Item,項目,,,,,,,,,,,,,,,,
key.propertyMacAddressType,Mac Address,Macアドレス,,,,,,,,,,,,,,,,
key.PropertyName,Name,項目名,,,,,,,,,,,,,,,,
key.propertyNumericType,Real value,実数,,,,,,,,,,,,,,,,
key.propertyStringType,String,文字列,,,,,,,,,,,,,,,,
key.PropertyType,Property Type,タイプ,,,,,,,,,,,,,,,,
key.PropValueFormatErrMessage,The input value of additional information is invalid.\n(Item name : %s),追加情報の入力値が不正です。\n(項目名：%s),,,,,,,,,,,,,,,,
key.QRCodePrint,QRCodePrint,QRコード印刷,,,,,,,,,,,,,,,,
key.QualityData,QualityData,品質データ,,,,,,,,,,,,,,,,
