KEY,標準,標準_日本語,倉庫,倉庫_日本語,FUJI,FUJI_日本語,FUJI岡崎,FUJI豊田,FUJI豊田(機械加工),ELS,明和,東栄電機,NFT,東芝産業機器システム,フジプレアム,ツガル精密機器,富士電機,日本マイクロニクス
key.suspended,中断中,中断中,,,,,,,,,,,,,,,,
key.SuspendedRate,中断発生率,中断発生率,,,,,,,,,,,,,,,,
key.suspendedReasons,中断理由,中断理由,,,,,,,,,,,,,,,,
key.SuspendTime,中断時間,中断時間,,,,,,,,,,,,,,,,
key.switchKanbans,カンバンの切り替え,カンバンの切り替え,,,,,,,,,,,,,,,,
key.switchWorkers,作業者の切り替え,作業者の切り替え,,,,,,,,,,,,,,,,
key.SynchronizeNow,Synchronize Now,今すぐ同期,Synchronize Now,今すぐ同期,,,,,,,,,,,,,,
key.system,System Setting,システム設定,,,,,,,,,,,,,,,,
key.TactTime,TactTime,タクトタイム,,,,,,,,,,,,,,,,
key.TactTimeTitle,TactTime\r(h:m:s),タクトタイム\r(時:分:秒),,,,,,,,,,,,,,,,
key.Tag,Tag,タグ,,,,,,,,,,,,,,,,
key.Target,目標,目標,,,,,,,,,,,,,,,,
key.TargetDay,Target Day,対象日,,,,,,,,,,,,,,,,
key.TargetOperatingRate,Target operation rate,目標稼働率,,,,,,,,,,,,,,,,
key.TargetTime,Target Time,対象時間,,,,,,,,,,,,,,,,
key.TargetType,Target,対象,,,,,,,,,,,,,,,,
key.TargetWork,Target Process,対象工程,,,,,,,,,,,,,,,,
key.TargetWorkflow,Target Processes,対象工程順,,,,,,,,,,,,,,,,
key.TemplateLoadFailed,テンプレートファイルの読み込みに失敗しました。,テンプレートファイルの読み込みに失敗しました。,,,,,,,,,,,,,,,,
key.TemplateNotFound,帳票テンプレートは存在しません。テンプレートがテンプレートフォルダにあるか確認してください。,帳票テンプレートは存在しません。テンプレートがテンプレートフォルダにあるか確認してください。,,,,,,,,,,,,,,,,
key.TempStockQuantity,Temp Stock Quantity,仮在庫数,Temp Stock Quantity,仮在庫数,,,,,,,,,,,,,,
key.tenkeyboard,テンキーボード,テンキーボード,,,,,,,,,,,,,,,,
key.Threshold,Threshold,閾値,,,,,,,,,,,,,,,,
key.Thursday,Thu,木曜日,,,,,,,,,,,,,,,,
key.Time,Time,時間,,,,,,,,,,,,,,,,
key.time.hour,hour,時,,,hour,時,,,,,,,,,,,,
key.time.millisecond,millisecond,ミリ秒,,,millisecond,ミリ秒,,,,,,,,,,,,
key.time.minute,minute,分,,,minute,分,,,,,,,,,,,,
key.time.second,second,秒,,,second,秒,,,,,,,,,,,,
key.TimeAxis,Time Axis,時間軸,,,,,,,,,,,,,,,,
key.TimeFormat,HH:mm:ss,HH:mm:ss,,,,,,,,,,,,,,,,
key.TimeFormatErrMessage,Input time was not in a correct format.,時間の入力フォーマットが正しくありません。,,,,,,,,,,,,,,,,
key.TimeInputOption,時間,時間,,,,,,,,,,,,,,,,
key.TimeIsntMatchFormat,The inputted time does not match the format.,入力された時間はフォーマットと一致しません,,,,,,,,,,,,,,,,
key.timer,Timer,タイマー,,,,,,,,,,,,,,,,
key.TimerControlPause,Pause,一時停止,,,,,,,,,,,,,,,,
key.TimerControlReset,Reset,リセット,,,,,,,,,,,,,,,,
key.TimerControlResume,Resume,再開,,,,,,,,,,,,,,,,
key.TimerControlStart,Start,スタート,,,,,,,,,,,,,,,,
key.TimerControlStop,Stop,終了,,,,,,,,,,,,,,,,
key.TimeScale,Time Scale,時間軸スケール,,,,,,,,,,,,,,,,
key.timestamp,日時,日時,,,,,,,,,,,,,,,,
key.TimeTitle,(hour:min:sec),(時:分:秒),,,,,,,,,,,,,,,,
key.timeUnit,Time Unit [minute],時間軸の表示単位（分）,,,,,,,,,,,,,,,,
key.TitleDisplaySetting,Title display setting,タイトルの表示設定,,,,,,,,,,,,,,,,
key.titleFontSize,Title Font Size,タイトルのフォントサイズ,,,,,,,,,,,,,,,,
key.TodayProgress,Today,本日進捗,,,,,,,,,,,,,,,,
key.TogglePages,Toggle pages,ページ切り替え,,,,,,,,,,,,,,,,
key.Tolerance,基準値,基準値,,,,,,,,,,,,,,,,
key.Tool,Tool,ツール,,,,,,,,,,,,,,,,
key.Total,Total,合計,,,,,,,,,,,,,,,,
key.Total2,計,計,,,,,,,,,,,,,,,,
key.totalNumOfCases,,,,,The total number of cases,総件数,〇,,,,,,,,,,,
key.TotalWorkTime,Total Work Time[sec],累積作業時間[sec],,,,,,,,,,,,,,,,
key.TraceabilitySettings,Quality Traceability Settings,品質トレーサビリティ設定,,,,,,,,,,,,,,,,
key.TraceCustoms,Custom setting list,カスタム設定値リスト,,,,,,,,,,,,,,,,
key.TraceInfo,トレース情報,トレース情報,,,,,,,,,,,,,,,,
key.TraceNote,タグが登録されていなかったり、タグが重複する場合は正しく表示されません。,タグが登録されていなかったり、タグが重複する場合は正しく表示されません。,,,,,,,,,,,,,,,,
key.true,有効,有効,,,,,,,,,,,,,,,,
key.Tuesday,Tue,火曜日,,,,,,,,,,,,,,,,
key.type,型,型,,,,,,,,,,,,,,,,
key.UnapprovalStatus,Unapprove,未承認,,,,,,,,,,,,,,,,
key.UnionProperty,Load a Combination of Properties,プロパティを組み合わせて読み込む,,,,,,,,,,,,,,,,
key.UnionTargetProperty,Target Property,組み合わせるプロパティ名,,,,,,,,,,,,,,,,
key.UnitAndKanban,,,,,Unit/Kanban,生産ユニット/カンバン,〇,,,,,,,,,,,
key.UnitCode,Process,工程,Process,工程,,,,,,,,,,,,,,
key.UnitHierarchy,,,,,Unit Hierarchy,ユニット階層,〇,,,,,,,,,,,
key.UnitHierarchyName,,,,,Unit Hierarchy Name,ユニット階層名,〇,,,,,,,,,,,
key.UnitImportExecute,,,,,Import,読み込み,〇,,,,,,,,,,,
key.UnitImportFolder,,,,,Import folder,読み込みフォルダ,〇,,,,,,,,,,,
key.UnitImportFolderChoice,,,,,Choice,選択,〇,,,,,,,,,,,
key.UnitImportResult,,,,,Result,結果,〇,,,,,,,,,,,
key.UnitImportTitle,,,,,Import production plan,生産計画の読み込み,〇,,,,,,,,,,,
key.UnitMenuTitle,,,,,Edit Unit,ユニットの編集,〇,,,,,,,,,,,
key.UnitName,Unit Name,ユニット名,Unit Name,ユニット名,,,,,,,,,,,,,,
key.unitNo,Unit No,ユニットNo,,,,,,,,,,,,,,,,
key.unittemplate,,,,,UnitTemplate,ユニットテンプレート,〇,,,,,,,,,,,
key.UnitTemplateAndWorkflow,,,,,UnitTemplate/Workflow,ユニットテンプレート/工程順,〇,,,,,,,,,,,
key.UnitTemplateChoice,,,,,Select from the right button,右のボタンから選択してください,〇,,,,,,,,,,,
key.UnitTemplateHierarchy,,,,,UnitTemplate Hierarchy,ユニットテンプレート階層,〇,,,,,,,,,,,
key.UnitTemplateMenuTitle,,,,,Edit UnitTemplate,ユニットテンプレートの編集,〇,,,,,,,,,,,
key.unittemplateName,,,,,UnitTemplate Name,ユニットテンプレート名,〇,,,,,,,,,,,
key.UnitTemplateSetting,,,,,UnitTemplate\rSetting,ユニットテンプ\rレートの設定,〇,,,,,,,,,,,
key.UnitTemplateSettingDialog,,,,,UnitTemplateSetting,ユニットテンプレートの設定,〇,,,,,,,,,,,
key.UnknownItem,Unknown Item,不明な項目,,,,,,,,,,,,,,,,
key.UnknownLocation,unknown location,unknown location,unknown location,unknown location,,,,,,,,,,,,,,
key.UnknownStrage,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,
key.UnkownStatus,Unkown Status,不明なステータス,,,,,,,,,,,,,,,,
key.Unselected,Unselected,未選択,,,,,,,,,,,,,,,,
key.Update,Update,更新,,,,,,,,,,,,,,,,
key.UpdateConfigDialog,Update Setting Dialog,設定ダイアログ更新,,,,,,,,,,,,,,,,
key.UpdatedBy,Updated By,更新者,,,,,,,,,,,,,,,,
key.UpdatedDate,Updated Date,更新日時,,,,,,,,,,,,,,,,
key.UpdateErrNotFoundUpdate,Information can not be updated because it has not been selected,情報が選択されていないため更新できません,,,,,,,,,,,,,,,,
key.updateInterval,Update Interval [second],更新間隔（秒）,,,,,,,,,,,,,,,,
key.updateIntervalMinutes,Update Interval [minutes],更新間隔（分）,,,,,,,,,,,,,,,,
key.UpdateLabelPrinting,Updated label printing instruction,ラベル印刷指示を更新,Updated label printing instruction,ラベル印刷指示を更新,,,,,,,,,,,,,,
key.UpdateOnlyStatusMessage,Update only Kanban Status.,カンバンステータスのみ更新しました。,,,,,,,,,,,,,,,,
key.UpdateStockError,An error occurred while updating the stock quantity.,在庫数の更新でエラーが発生しました。,,,,,,,,,,,,,,,,
key.UploadDocuments,Uploading...,ドキュメントをアップロード中...,,,,,,,,,,,,,,,,
key.UseEquipment,使用設備,使用設備,,,,,,,,,,,,,,,,
key.UseLatest,Use latest,常に最新版を使用する,,,,,,,,,,,,,,,,
key.UseParts,使用部品,使用部品,,,,,,,,,,,,,,,,
key.userID,User ID,ユーザーID,,,,,,,,,,,,,,,,
key.ValidationRule,Validation Rule,入力規則,,,,,,,,,,,,,,,,
key.ValueList,入力値リスト,入力値リスト,,,,,,,,,,,,,,,,
key.VariationAmongWorkers(in-process),Variation among workers (in-process),作業者間のバラツキ(工程内),,,,,,,,,,,,,,,,
key.VariationInEquipmentCompletion(in-process),Variation in equipment completion (in-process),設備間のバラツキ(工程内),,,,,,,,,,,,,,,,
key.verison,Ver.,Ver.,,,,,,,,,,,,,,,,
key.VerticalAxis,Vertical Axis,縦軸,,,,,,,,,,,,,,,,
key.VisibleCompletedUnit,,,,,完了済みユニットを表示,完了済みユニットを表示,〇,,,,,,,,,,,
key.VisiblePlan,Plan,計画,,,,,,,,,,,,,,,,
key.VisibleString,Visible,表示文字列,,,,,,,,,,,,,,,,
key.WarehouseGuide,Warehouse guide,倉庫案内,Warehouse guide,倉庫案内,,,,,,,,,,,,,,
key.WarehouseManagement,WarehouseManagement,倉庫管理,WarehouseManagement,倉庫管理,,,,,,,,,,,,,,
key.Warehouses,Warehouses,入庫数,Warehouses,入庫数,,,,,,,,,,,,,,
key.WarehousesName,Warehouses ident name,入庫識別子,Warehouses ident name,入庫識別子,,,,,,,,,,,,,,
key.Warehousing,Warehousing,入庫,Warehousing,入庫,,,,,,,,,,,,,,
key.WarehousingActualReport,Warehousing Actual Result,入庫作業実績,Warehousing Actual Result,入庫作業実績,,,,,,,,,,,,,,
key.WarehousingDate,Warehousing Date,入庫日,Warehousing Date,入庫日,,,,,,,,,,,,,,
key.warn.deleteUsingWorkflow,There is a Kanban that uses this workflow.\nDo you really want to delete this?,この工程順を使用したカンバンが存在します。\n本当に削除しますか？,,,,,,,,,,,,,,,,
key.warn.DiscardChanges,Are you sure you want to discard the changes?,変更内容を破棄しますか？,,,,,,,,,,,,,,,,
key.warn.enterCharacters,Please enter the number of characters to %d characters or less,文字数を%d文字以下で入力してください,,,,,,,,,,,,,,,,
key.warn.enterCharacters256,Please enter the number of characters to 256 characters or less,文字数を256文字以下で入力してください,,,,,,,,,,,,,,,,
key.warn.FailedDeleteKanbans,"Of the selected kanbans, %d can not be deleted because there are work results.",選択したカンバンのうち、%d 件は作業実績があるため削除できませんでした。,,,,,,,,,,,,,,,,
key.warn.FailedDeleteWorkflows,"Of the selected workflows, %d can not be deleted because there are work results.",選択した工程順のうち、%d 件は使用したカンバンがあるため削除できませんでした。,,,,,,,,,,,,,,,,
key.warn.forcedDeleteKanban1,"The selected Kanban is currently under construction. Do you want to delete it forcibly?\rDeleting Kanban will also delete the work results.\rWhen deleting, please confirm that you are not actually working.\r\rKanban: %s\rStatus: %s",選択したカンバンは、現在作業中です。強制的に削除しますか？\rカンバンを削除すると、作業実績も削除されます。\r削除する場合は、実際に作業していないことを確認してください。\r\rカンバン: %s\rステータス: %s,,,,,,,,,,,,,,,,
key.warn.forcedDeleteKanban2,The selected Kanban has work experience. Do you really want to delete this?\rDeleting Kanban will also delete the work results.\r\rKanban: %s\rStatus: %s,選択したカンバンには、作業実績があります。本当に削除しますか？\rカンバンを削除すると、作業実績も削除されます。\r\rカンバン: %s\rステータス: %s,,,,,,,,,,,,,,,,
key.warn.HasBeenChanged,The data has been changed.,データは変更されています。,,,,,,,,,,,,,,,,
key.warn.inputRequired,入力されていない項目があります,入力されていない項目があります,,,,,,,,,,,,,,,,
key.warn.inputRequired.details,*が付いた項目は入力必須です。,*が付いた項目は入力必須です。,,,,,,,,,,,,,,,,
key.warn.instruction.exist,It is a read work order.,読み込み済みの作業指示書です。,,,,,,,,,,,,,,,,
key.warn.instruction.remain.zero,Work order information with zero remaining units cannot be added.,残り台数がゼロの作業指示情報は追加できません。,,,,,,,,,,,,,,,,
key.warn.noPermitionDeleteActual,Cannot delete this kanban because no permission to delete actual.,実績を削除する権限がないため、削除できません。,,,,,,,,,,,,,,,,
key.warn.notInputOutputKanbanHierarchy,,,,,Please setting the output kanban hierarchy,出力先のカンバン階層を設定してください。,〇,,,,,,,,,,,
key.warn.notInputUnitTmeplateName,,,,,Please enter the unit template name.,ユニットテンプレート名を入力してください。,〇,,,,,,,,,,,
key.warn.notMatch.workflow,Workflow names of one piece flow and lot flow do not match.\nDo you want to register kanban?,1個流しとロット生産の工程順名が一致していません。\nカンバンを登録しますか？,,,,,,,,,,,,,,,,
key.warn.NotSpecifiedDate,The target date has not been entered.\rPlease enter the target date.,対象日が未入力です。\r対象日を入力して下さい。,,,,,,,,,,,,,,,,
key.warn.orderInfo.different.kikakuKatasiki,Work order information with different standards / models or departments cannot be added.,規格・型式または部門が異なる作業指示情報は追加できません。,,,,,,,,,,,,,,,,
key.warn.organizationLogin,ログインしてください,ログインしてください,,,,,,,,,,,,,,,,
key.warn.organizationLogin.details,メニューから[作業者の切り替え]を選択して、作業者バーコードをスキャンしてください。,メニューから[作業者の切り替え]を選択して、作業者バーコードをスキャンしてください。,,,,,,,,,,,,,,,,
key.warn.overMaxRecord,The maximum number that can be registered has been exceeded.\r\nPlease keep the number of registrations to %s or less.,登録可能な最大件数を超えています。\r\n登録件数を%s件以下にしてください。,,,,,,,,,,,,,,,,
key.warn.productionNum,生産数の合計がロット数量と合っていません。生産数を確認して下さい。,生産数の合計がロット数量と合っていません。生産数を確認して下さい。,,,,,,,,,,,,,,,,
key.warn.RecordLimitOver,登録可能な最大件数(%s件)を超えています。,登録可能な最大件数(%s件)を超えています。,,,,,,,,,,,,,,,,
key.warn.RecordLimitOverDetail,追加した場合、正常に動作しない可能性があります。\r\nそれでも追加したい場合は[OK]を、追加しない場合は[取消]を選択してください。,追加した場合、正常に動作しない可能性があります。\r\nそれでも追加したい場合は[OK]を、追加しない場合は[取消]を選択してください。,,,,,,,,,,,,,,,,
key.warn.unitKanbanNameIsLong,,,,,The created Kanban name is too long.\rPlease shorten the unit name.,作成されるカンバン名が長すぎます。\rユニット名を短くしてください。,〇,,,,,,,,,,,
key.warn.WantToOutputData,Are you sure you want to output the data?,データを出力しますか？,,,,,,,,,,,,,,,,
key.warn.WorkReport.InterruptedSearch,Search has been suspended.\rWould you like to output the search results?,検索が中断されています。\r検索結果を出力しますか?,,,,,,,,,,,,,,,,
key.Warning,Warning,警告,,,,,,,,,,,,,,,,
key.WarningThreshold,警告閾値,警告閾値,,,,,,,,,,,,,,,,
key.Wednesday,Wed,水曜日,,,,,,,,,,,,,,,,
key.Week,Week,週,,,,,,,,,,,,,,,,
key.Weekly,Weekly,毎週,,,,,,,,,,,,,,,,
key.withdraw,呼出解除,呼出解除,,,,,,,,,,,,,,,,
key.WokerName,WokerName,作業者名,,,,,,,,,,,,,,,,
key.WokPlan.AutoImport,Auto import,自動読込,,,,,,,,,,,,,,,,
key.work,Work,作業,,,,,,,,,,,,,,,,
key.work.no,工程の番号,工程の番号,,,,,,,,,,,,,,,,
key.work.plan.title,作業計画,作業計画,,,,,,,,,,,,,,,,
key.Work1,,,,,Work 1,工程1,〇,,,,,,,,,,,
key.Work2,,,,,Work 2,工程2,〇,,,,,,,,,,,
key.WorkActual,工程実績進捗,工程実績進捗,,,,,,,,,,,,,,,,
key.WorkAnalysis,Work analysis,作業分析,,,,,,,,,,,,,,,,
key.WorkAverageWorkTime,Work average time,工程の平均作業時間,,,,,,,,,,,,,,,,
key.WorkbookSaveFailed,ワークブックの保存に失敗しました。,ワークブックの保存に失敗しました。,,,,,,,,,,,,,,,,
key.WorkCategory.Delete.RelationExist,Cannot delete because it is related with organization,組織に関連付けられているため削除できません,,,,,,,,,,,,,,,,
key.WorkCategoryEdit,Work classification edit,作業区分編集,,,,,,,,,,,,,,,,
key.WorkCategoryName,Work classification name,作業区分名,,,,,,,,,,,,,,,,
key.WorkCenter,Work Center,ワークセンタ,,,,,,,,,,,,,,,,
key.WorkClassification,Work classification,作業区分,,,,,,,,,,,,,,,,
key.WorkCompleteTime,Work complete time,作業完了時間,,,,,,,,,,,,,,,,
key.WorkContent,Work Content,作業内容,,,,,,,,,,,,,,,,
key.WorkEndDay,Work End Day,作業終了日,,,,,,,,,,,,,,,,
key.WorkEndDayAndTime,Work End Day And Time,作業終了日時,,,,,,,,,,,,,,,,
key.WorkEndTime,Work End Time,作業終了時間,,,,,,,,,,,,,,,,
key.worker.management.title,作業者管理,作業者管理,,,,,,,,,,,,,,,,
key.workers,作業者,作業者,,,,,,,,,,,,,,,,
key.WorkersAverageWorkTime,Worker average time,作業者の平均作業時間,,,,,,,,,,,,,,,,
key.WorkerTerminal,adProduct,作業端末用,,,,,,,,,,,,,,,,
key.workflow,工程順,工程順,,,,,,,,,,,,,,,,
key.WorkflowFromModelName,Workflow from model name,モデル名で工程順を指定する,,,,,,,,,,,,,,,,
key.WorkflowName,Workflow Name,工程順名,,,,,,,,,,,,,,,,
key.WorkflowNotExist,"Process step name that does not exist, or no access right",存在しない工程順名、またはアクセス権がありません,,,,,,,,,,,,,,,,
key.WorkflowReschedule,Changing the order of steps schedule,工程順スケジュールの変更,,,,,,,,,,,,,,,,
key.WorkflowRescheduleMessage,Tact time has been changed. Are you sure you want to reflect in the order of the existing process?,タクトタイムが変更されました。既存の工程順に反映しますか?,,,,,,,,,,,,,,,,
key.WorkflowRev,Workflow revision,工程順版数,,,,,,,,,,,,,,,,
key.WorkflowWithModel,Workflow from model name and workflow name,モデル名と工程順名の組み合わせで工程順を指定する,,,,,,,,,,,,,,,,
key.WorkingDay,Working Day,作業日,,,,,,,,,,,,,,,,
key.WorkingHours,Working Hours,就業時間,,,,,,,,,,,,,,,,
key.WorkingParson,Working Parson,作業者,,,,,,,,,,,,,,,,
key.workingPossibleTime,稼働可能時間,稼働可能時間,,,,,,,,,,,,,,,,
key.WorkingTime,Working Time,作業時間枠,,,,,,,,,,,,,,,,
key.WorkKanban,Work Kanban,工程カンバン,,,,,,,,,,,,,,,,
key.Workmanship,,,,,Workmanship,仕掛り,〇,,,,,,,,,,,
key.WorkNum,,,,,Work Num,工程数,〇,,,,,,,,,,,
key.worknumber,工程番号,工程番号,,,,,,,,,,,,,,,,
key.WorkPlan.AutoImport.standby,Monitoring folders...,フォルダ監視中...,,,,,,,,,,,,,,,,
key.WorkPlan.AutoImport.standby.message,"Please put the file to the folder.\nTo end monitoring, click “End” button.",フォルダにファイルを追加してください。\n監視を終了する場合は、[終了]をクリックしてください。,,,,,,,,,,,,,,,,
key.WorkProgress,Work Progress,工程進捗,,,,,,,,,,,,,,,,
key.WorkReport.add,Add work,作業追加,,,,,,,,,,,,,,,,
key.WorkReport.OrderNumber,Order number,注文番号,,,,,,,,,,,,,,,,
key.WorkReport.OrganizationIdentify,Organization identify,組織識別名,,,,,,,,,,,,,,,,
key.WorkReport.OrganizationName,Organization name,組織名,,,,,,,,,,,,,,,,
key.WorkReport.OrganizationSelect,Organization\nselect,組織選択,,,,,,,,,,,,,,,,
key.WorkReport.Tool.Description,Calculate the difference between standard time and working time.,基準時間と作業時間の差異を計算します。,,,,,,,,,,,,,,,,
key.WorkReport.WorkDate,Work date,作業日,,,,,,,,,,,,,,,,
key.WorkReport.WorkName,Work name,作業内容,,,,,,,,,,,,,,,,
key.WorkReport.WorkNumber,Work number,作業No,,,,,,,,,,,,,,,,
key.WorkReport.WorkTime,Work time,工数,,,,,,,,,,,,,,,,
key.WorkReportTitle,Work report,作業日報,,,,,,,,,,,,,,,,
key.workStart,作業開始,作業開始,,,,,,,,,,,,,,,,
key.WorkStartDay,Work Start Day,作業開始日,,,,,,,,,,,,,,,,
key.WorkStartDayAndTime,Work Start Day And Time,作業開始日時,,,,,,,,,,,,,,,,
key.WorkStartTime,Work start time,作業開始時間,,,,,,,,,,,,,,,,
key.WorkTime,Work Time,作業時間,,,,,,,,,,,,,,,,
key.WorkTimeDescription,Working time difference,作業時間差異,,,,,,,,,,,,,,,,
key.WorkTimePerUnit,Working time per unit,1台あたりの作業時間,,,,,,,,,,,,,,,,
key.WorkTimes,作業時間,作業時間,,,,,,,,,,,,,,,,
key.WorkTimeTotal,Work time total,工程作業時間,,,,,,,,,,,,,,,,
key.WrongAddInfoType,WrongAddInfoType,追加項目タイプが間違っています。,,,,,,,,,,,,,,,,
key.WrongCalTermUnit,WrongCalTermUnit,校正間隔単位が間違っています。,,,,,,,,,,,,,,,,
key.WrongPluginName,WrongPluginName,プラグイン名が間違っています。,,,,,,,,,,,,,,,,
key.Year,Year,年,,,,,,,,,,,,,,,,
key.Yes,Yes,はい,,,,,,,,,,,,,,,,
key.YesToAll,Yes to all,すべて はい,,,,,,,,,,,,,,,,
key.zoomFontSize,Zoom Font Size,拡大スライドバーのフォントサイズ,,,,,,,,,,,,,,,,
keyMonitorStatusReady,Ready,未着手,,,,,,,,,,,,,,,,
key.ProductionNavi.LinkAsp,LinkAsprova,Asprova連携,,,,,,,,,,,,,,,,
key.KanbanCannotUpdateByNewWorkFlow,新しい工程順が見つかったため、カンバンを更新できませんでした。,新しい工程順が見つかったため、カンバンを更新できませんでした。,,,,,,,,,,,,,,,,
key.ClearAll,Clear All,すべて消去,,,,,,,,,,,,,,,,
key.tagDuplicate,,タグの重複,タグの重複,,,,,,,,,,,,,,,
key.tagDuplicateDetail,,タグが重複しています。,タグが重複しています。,,,,,,,,,,,,,,,
key.ServerConnectFail,サーバーへの接続に失敗しました,サーバーへの接続に失敗しました,,,,,,,,,,,,,,,,
key.ServerConnectFailDetail,再度、処理を実施して下さい,再度、処理を実施して下さい,,,,,,,,,,,,,,,,
key.Inventory.ExistInventoryResult,Inventory results exist. \nDo you want to erase and start inventory?,棚卸結果が存在します。\n消去して棚卸を開始しますか？,,,,,,,,,,,,,,,,
key.Inventory.DeleteInventoryResult,"Select [Yes] to erase and restart the inventory from the beginning,\n [No] to restart from the continuation without erasing,\n or [Cancel] to not start.",消去して棚卸を最初からやり直す場合は[はい]を、\n消去せずに続きから再開する場合は[いいえ]を、\n開始しない場合は[取消]を選択してください。,,,,,,,,,,,,,,,,
key.Picking,出庫,出庫,,,,,,,,,,,,,,,,
key.ApplyInventory,棚卸適用,棚卸適用,,,,,,,,,,,,,,,,
key.Shelf,資材移動,資材移動,,,,,,,,,,,,,,,,
key.FixStock,在庫修正,在庫修正,,,,,,,,,,,,,,,,
key.Pasting,Pasting,貼り付け,,,,,,,,,,,,,,,,
key.DataCheck,データチェック,データチェック,,,,,,,,,,,,,,,,
key.DataCheckMessage,データチェックは正常に終了しました。,データチェックは正常に終了しました。,,,,,,,,,,,,,,,,
key.DataCheckErrorLevel,level,レベル,,,,,,,,,,,,,,,,
key.DataCheckErrorType,type,名称,,,,,,,,,,,,,,,,
key.DataCheckErrorMessage,message,エラー詳細,,,,,,,,,,,,,,,,
key.DataCheckErrorComment,データチェック異常が発生しています。,データチェック異常が発生しています。,,,,,,,,,,,,,,,,
key.warn.deleteUsingWork,There is a Workflow that uses this work.\nDo you really want to delete this?,この工程を使用した工程順が存在します。\n本当に削除しますか？,,,,,,,,,,,,,,,,
key.warn.FailedDeleteWorks,"Of the selected works, %d can not be deleted because there are work results.",選択した工程のうち、%d 件は使用した工程順があるため削除できませんでした。,,,,,,,,,,,,,,,,
key.BomFile,BOM file,BOMファイル,,,,,,,,,,,,,,,,
key.BomFile.notExist,BOM file does not exist.,BOMファイルがありません。,,,,,,,,,,,,,,,,
key.OrderFile,Order file,計画ファイル,,,,,,,,,,,,,,,,
key.OrderFile.notExist,Order file does not exist.,計画ファイルがありません。,,,,,,,,,,,,,,,,
key.import.unitTemplate.notExist,,,,,Unit template does not exist.,ユニットテンプレートがありません。,〇,,,,,,,,,,,
key.import.work.plan.bom,,,,,Read bom information,BOM情報を読み込み中,〇,,,,,,,,,,,
key.import.work.plan.order,,,,,Read order information,計画情報を読み込み中,〇,,,,,,,,,,,
key.KanbanImportFujiTitle,,,,,Import production plan (Scheduler),生産計画の読み込み (スケジューラ),〇,,,,,,,,,,,
key.alert.relatedWorkflowApplying,Could not apply because workflow using target work is being applying.,対象の工程を使用している工程順が申請中のため、申請できませんでした。,,,,,,,,,,,,,,,,
key.alert.relatedWorkApplying,Could not apply because the work used in target workflow is being applying.,対象の工程順で使用している工程が申請中のため、申請できませんでした。,,,,,,,,,,,,,,,,
key.SomeNotUpdated,Some data were not updated.,一部の情報が更新されませんでした。,,,,,,,,,,,,,,,,
key.ListIsEmpty,There is no content in the table,表には中身がありません,,,,,,,,,,,,,,,,
key.orderNum,Order number,オーダー番号,,,,,,,,,,,,,,,,
key.ScheduledForDate,Scheduled for 'yyyy/MM/dd,yyyy年MM月dd日'の予定',,,,,,,,,,,,,,,,
key.SheetNotExist,%s sheet does not exist,%sシートが存在しません,,,,,,,,,,,,,,,,
key.OutputInFixedColumn,Output in a fixed column,固定列で出力する,,,,,,,,,,,,,,,,
key.1Gatsu, Jan.,1月,,,,,,,,,,,,,,,,
key.2Gatsu,Feb.,2月,,,,,,,,,,,,,,,,
key.3Gatsu,Mar.,3月,,,,,,,,,,,,,,,,
key.4Gatsu,Apr.,4月,,,,,,,,,,,,,,,,
key.5Gatsu,May.,5月,,,,,,,,,,,,,,,,
key.6Gatsu,Jun.,6月,,,,,,,,,,,,,,,,
key.7Gatsu,Jul.,7月,,,,,,,,,,,,,,,,
key.8Gatsu,Aug.,8月,,,,,,,,,,,,,,,,
key.9Gatsu,Sep.,9月,,,,,,,,,,,,,,,,
key.AbnormallyColored,AbnormallyColored,異常色,,,,,,,,,,,,,,,,
key.10Gatsu,Oct.,10月,,,,,,,,,,,,,,,,
key.11Gatsu,Nov.,11月,,,,,,,,,,,,,,,,
key.12Gatsu,Dec.,12月,,,,,,,,,,,,,,,,
key.Nen,%s,%s年,,,,,,,,,,,,,,,,
key.ColorTheme,Color Theme,カラーテーマ,,,,,,,,,,,,,,,,
key.ListLine,Line,行目,,,,,,,,,,,,,,,,
key.PreProcess,Pre Process,前工程,,,,,,,,,,,,,,,,
key.PostProcess,Post Process,後工程,,,,,,,,,,,,,,,,
key.LineBalanceRate,Line balanceRate,ラインバランス率,,,,,,,,,,,,,,,,
key.EditLiteKanbanTitle,Edit Plan (Lite),[Lite]カンバン編集,,,,,,,,,,,,,,,,
key.LiteRegistOrderProcesses,Regist Order Processes (Lite),[Lite]工程順編集,,,,,,,,,,,,,,,,
key.DeliveryTime,Delivery time,納期,,,,,,,,,,,,,,,,
key.ConfirmationCompProcess,"Do you want to complete the ""%s"" process?",「%s」工程を完了にしますか？,,,,,,,,,,,,,,,,
key.ConfirmationCompWorkingProcess,"The ""%s"" process is in progress. Do you want to complete the process?",「%s」工程は作業中です。工程を完了にしますか？,,,,,,,,,,,,,,,,
key.NotExistEquipmnt,There is no worker terminal registration.,作業者端末の登録がありません。,,,,,,,,,,,,,,,,
key.LiteMonitorType,Lite Monitor,Liteモニター,,,,,,,,,,,,,,,,
key.ProcessDisplayColumns,Process display columns,表示列数,,,,,,,,,,,,,,,,
